Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop,站点,平均乘距,year,station_name,cos_theta,cos_abs
0,2015_182设计园,4936.0,2850.0,2086.0,3183.0,False,201.0,2.0,7.0,20.0,63.0,44.0,7.0,24.0,4.0,1.0,8.0,0.0,7.0,5.0,3212,2091.0,2015_182设计园,1710.636668631996,2015,182设计园,-0.5689144412698662,0.5689144412698662
6,2015_388工业区,6054.0,3210.0,2844.0,1878.0,False,97.0,4.0,1.0,9.0,36.0,23.0,0.0,6.0,0.0,1.0,5.0,1.0,2.0,4.0,1890,13680.0,2015_388工业区,2937.721268282483,2015,388工业区,0.3867430911569782,0.3867430911569782
8,2015_968工业区,394.0,216.0,178.0,2924.0,False,42.0,2.0,4.0,2.0,14.0,13.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2953,891.0,2015_968工业区,1345.2215091716362,2015,968工业区,-0.9922827685598016,0.9922827685598016
9,2015_98工业区,2260.0,1318.0,942.0,2613.0,False,415.0,8.0,16.0,56.0,179.0,103.0,9.0,14.0,0.0,6.0,11.0,0.0,15.0,6.0,2648,7969.0,2015_98工业区,4687.118521059278,2015,98工业区,0.8524435902266242,0.8524435902266242
14,2015_YKK厂后门,4876.0,2668.0,2208.0,2330.0,False,160.0,8.0,9.0,15.0,55.0,31.0,5.0,20.0,1.0,4.0,1.0,0.0,0.0,2.0,2372,6596.0,2015_YKK厂后门,2396.45957014376,2015,YKK厂后门,0.6674992108515471,0.6674992108515471
15,2015_YKK拉链厂,1018.0,586.0,432.0,3758.0,False,279.0,16.0,8.0,37.0,96.0,51.0,4.0,16.0,0.0,8.0,11.0,0.0,1.0,2.0,3787,3886.0,2015_YKK拉链厂,1492.9876445718266,2015,YKK拉链厂,0.8466567983753814,0.8466567983753814
16,2015_一电科技,6772.0,3734.0,3038.0,2493.0,False,245.0,10.0,15.0,31.0,93.0,41.0,6.0,14.0,0.0,7.0,7.0,0.0,2.0,4.0,2534,920.0,2015_一电科技,4855.289921314587,2015,一电科技,-0.7449258505394405,0.7449258505394405
18,2015_丁甲岭老村,184.0,98.0,86.0,5101.0,False,62.0,12.0,3.0,1.0,24.0,12.0,1.0,10.0,0.0,1.0,2.0,0.0,1.0,1.0,5230,778.0,2015_丁甲岭老村,2885.189385661458,2015,丁甲岭老村,0.8963958163452569,0.8963958163452569
19,2015_七彩人生,2940.0,1488.0,1452.0,1188.0,False,109.0,20.0,4.0,15.0,29.0,13.0,2.0,6.0,0.0,2.0,4.0,0.0,2.0,0.0,1186,2953.0,2015_七彩人生,4054.128207590496,2015,七彩人生,0.9826144669706615,0.9826144669706615
22,2015_万丰,5276.0,2808.0,2468.0,5450.0,False,213.0,6.0,28.0,31.0,66.0,42.0,0.0,8.0,0.0,6.0,2.0,1.0,0.0,3.0,5592,7687.0,2015_万丰,5784.327404587288,2015,万丰,0.6493400003057982,0.6493400003057982
23,2015_万丰工业区,6544.0,3662.0,2882.0,1503.0,False,131.0,18.0,16.0,7.0,41.0,16.0,0.0,46.0,3.0,1.0,1.0,0.0,0.0,1.0,1515,3485.0,2015_万丰工业区,4283.759111287413,2015,万丰工业区,0.3856527423795848,0.3856527423795848
24,2015_万丰派出所,888.0,514.0,374.0,2126.0,False,135.0,2.0,2.0,16.0,70.0,23.0,0.0,8.0,1.0,3.0,2.0,0.0,2.0,1.0,2153,6814.0,2015_万丰派出所,2358.041254363511,2015,万丰派出所,-0.9999419045940193,0.9999419045940193
