treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,4936.0,2850.0,1710.636668631996,35.0,108.0,8.0,18.0,24.0,2091.0
True,1906.0,1434.0,1183.5501745785923,297.0,734.0,90.0,92.0,134.0,7317.0
True,9800.0,5018.0,864.6787228602901,192.0,335.0,28.0,95.0,54.0,6607.0
False,6054.0,3210.0,2937.721268282483,22.0,61.0,2.0,3.0,6.0,13680.0
False,394.0,216.0,1345.2215091716362,5.0,28.0,1.0,5.0,2.0,891.0
False,2260.0,1318.0,4687.118521059278,81.0,288.0,15.0,31.0,14.0,7969.0
False,4876.0,2668.0,2396.45957014376,26.0,90.0,9.0,10.0,20.0,6596.0
False,1018.0,586.0,1492.9876445718266,66.0,155.0,12.0,9.0,16.0,3886.0
False,6772.0,3734.0,4855.289921314587,52.0,141.0,13.0,17.0,14.0,920.0
False,184.0,98.0,2885.189385661458,16.0,37.0,2.0,4.0,10.0,778.0
False,2940.0,1488.0,4054.128207590496,39.0,44.0,4.0,6.0,6.0,2953.0
False,5276.0,2808.0,5784.327404587288,42.0,115.0,7.0,28.0,8.0,7687.0
False,6544.0,3662.0,4283.759111287413,27.0,58.0,1.0,19.0,46.0,3485.0
False,888.0,514.0,2358.041254363511,21.0,96.0,3.0,5.0,8.0,6814.0
False,36314.0,19558.0,2983.560972527768,244.0,1224.0,59.0,143.0,108.0,7092.0
True,15200.0,8058.0,7953.356829356441,103.0,566.0,7.0,73.0,58.0,6316.0
False,2852.0,1488.0,4758.035064041388,1.0,3.0,2.0,0.0,0.0,4849.0
False,774.0,382.0,2129.7078254166167,6.0,19.0,2.0,4.0,4.0,7632.0
False,470.0,284.0,437.55436275223394,30.0,79.0,9.0,6.0,12.0,1622.0
False,8746.0,4894.0,1810.8482558326004,131.0,302.0,26.0,19.0,56.0,6038.0
False,6530.0,3590.0,3910.6731856038255,128.0,184.0,30.0,83.0,24.0,2039.0
False,10462.0,5944.0,2724.738268809489,52.0,134.0,6.0,4.0,6.0,6862.0
False,1036.0,588.0,2205.8151572604365,13.0,22.0,0.0,12.0,18.0,4479.0
False,1440.0,786.0,2951.5273683950813,33.0,49.0,3.0,7.0,10.0,2960.0
False,84.0,64.0,1609.4329605736566,89.0,291.0,22.0,12.0,18.0,2974.0
False,16304.0,8734.0,3105.5112828978463,68.0,160.0,5.0,10.0,8.0,4404.0
False,14.0,14.0,1858.8091686190385,88.0,191.0,15.0,8.0,14.0,11891.0
False,35588.0,19804.0,4594.5500482335565,109.0,400.0,24.0,51.0,40.0,5800.0
False,3344.0,1536.0,6552.215352131225,57.0,129.0,23.0,28.0,44.0,3550.0
False,2844.0,1506.0,1426.815042801305,116.0,250.0,36.0,43.0,42.0,5145.0
False,1220.0,726.0,7759.92532802403,7.0,15.0,10.0,2.0,8.0,604.0
False,13928.0,7722.0,2861.988392592943,87.0,191.0,22.0,29.0,36.0,3072.0
True,58.0,54.0,4234.958828137097,185.0,572.0,30.0,53.0,104.0,4600.0
True,9830.0,4728.0,3339.5248701047167,141.0,752.0,40.0,76.0,108.0,11076.0
False,9054.0,4946.0,2421.353874454825,6.0,23.0,4.0,13.0,6.0,3149.0
False,6514.0,3904.0,2433.832598873389,137.0,468.0,63.0,27.0,50.0,2374.0
False,4.0,2.0,26601.31448247688,9.0,8.0,6.0,7.0,8.0,7152.0
True,1596.0,764.0,1137.9008526757964,155.0,434.0,26.0,40.0,74.0,16155.0
False,6.0,4.0,4732.615632210197,0.0,4.0,5.0,2.0,6.0,542.0
False,17766.0,9442.0,5951.156995860227,107.0,378.0,32.0,24.0,20.0,3308.0
False,1026.0,630.0,1529.4747054378702,9.0,31.0,3.0,1.0,8.0,2980.0
False,1686.0,972.0,2380.1409999987422,5.0,7.0,1.0,3.0,10.0,1110.0
False,4362.0,2394.0,4261.863256589556,2.0,5.0,0.0,5.0,0.0,2519.0
False,676.0,392.0,3443.6607225013995,143.0,196.0,72.0,112.0,104.0,7374.0
True,350.0,290.0,7583.08234986393,42.0,130.0,7.0,17.0,62.0,7288.0
False,12384.0,7770.0,1912.796041357464,70.0,193.0,18.0,39.0,4.0,5476.0
False,8326.0,4672.0,5528.541883276483,146.0,541.0,25.0,28.0,36.0,6462.0
True,5772.0,2924.0,2739.6203276491347,235.0,813.0,31.0,29.0,48.0,2446.0
